ID,Start time,Completion time,Email,Name,I confirm that I am 18 years of age or older and consent to participate in this study,"Are you currently employed, or have you been employed within the past 3 years?",sector,tenure,management_level,policy_exists,org_monitors,q8_policy_communicated,q9a_right_to_monitor,q9b_invasion_privacy,q9c_intervene_if_affects_org,q9d_improves_reputation,q9e_culture_mistrust,q10_appropriate_discipline,q11_discipline_proportionate,q12_scenario1,q13_scenario2,q14a_monitoring_affects_usage,q14b_avoid_opinions,q14c_consider_employer_reflection,q14d_reduces_trust,q14e_comfortable_expressing,q15_experienced_discipline,q16_open_fair_unfair,q17_open_when_appropriate,q18_open_improvements,q8_policy_communicated_num,q9a_right_to_monitor_num,q9b_invasion_privacy_num,q9c_intervene_if_affects_org_num,q9d_improves_reputation_num,q9e_culture_mistrust_num,q10_appropriate_discipline_num,q11_discipline_proportionate_num,q14a_monitoring_affects_usage_num,q14b_avoid_opinions_num,q14c_consider_employer_reflection_num,q14d_reduces_trust_num,q14e_comfortable_expressing_num,q12_scenario1_num,q13_scenario2_num
50,2026-03-22 21:50:10,2026-03-22 21:52:15,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Public Sector,1-3 years,Middle Management,Yes,No,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Somewhat appropriate,Agree,Agree,Agree,Agree,Neutral,No;,,,,4,2,4,4,3,4,2,3,4,4,4,4,3,3,4
51,2026-03-22 21:51:26,2026-03-22 21:53:47,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Non-managerial employee,Not sure,No,Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly disagree,Neutral,Completely inappropriate,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Agree,No;,,,,2,1,5,3,2,5,1,3,5,3,2,5,4,1,3
52,2026-03-22 21:52:33,2026-03-22 21:55:04,anonymous,,"Yes, I consent","Yes, currently employed",Other,4-7 years,Non-managerial employee,No,Not sure,Strongly disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat appropriate,Somewhat appropriate,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,No;,,,,1,4,1,4,4,4,4,4,5,2,1,2,4,4,4
53,2026-03-22 21:53:48,2026-03-22 22:00:25,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,Less than 1 year,Non-managerial employee,Not sure,Not sure,Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neither agree nor disagree,Neutral,Somewhat inappropriate,Neutral,Strongly agree,Neutral,Neutral,Agree,Disagree,No;,My opinion depends on whether or not the employee’s persona social media is public or private. I believe if you choose to post it to social media you are old and wise enough to be aware of who follows you and potential negative comments and opinions of others. I think it would only be fair for organizations to monitor employees personal social media if there had been any forms of bullying to another co-worker or anything to do in relation to the workplace.,If it has affected the workplace or any other employees that work there. For example cyber bullying. Or public hate towards the place they work at.,Be completely transparent about how things are regulated and any clauses as to why they would be monitoring social media and the extent it would be monitored for.,2,2,4,5,3,4,3,3,5,3,3,4,2,2,3
54,2026-03-22 22:06:15,2026-03-22 22:09:55,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,Less than 1 year,Non-managerial employee,No,No,Strongly disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Somewhat inappropriate,Somewhat appropriate,Strongly agree,Disagree,Disagree,Agree,Agree,No;,,,,1,2,4,4,4,3,2,3,5,2,2,4,4,2,4
55,2026-03-22 22:17:58,2026-03-22 22:21:48,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Public Sector,1-3 years,Non-managerial employee,Yes,Yes,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Neutral,Somewhat appropriate,Completely appropriate,Agree,Agree,Agree,Neutral,Neutral,"Yes, witnessed;",It’s public knowledge and the company has a right to monitor ,When the content is inappropriate ,Guidelines ,4,4,2,4,5,2,4,3,4,4,4,3,3,4,5
56,2026-03-22 22:15:10,2026-03-22 22:25:29,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Public Sector,1-3 years,Non-managerial employee,No,No,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Completely inappropriate,Agree,Neutral,Agree,Neutral,Neutral,No;,fair for certain jobs like teachers have to be and should be very careful what they post along with small companies cause a post can be a huge deal and reflect more of the views but for a big corporation like walmart it shouldn’t matter as much cause they have so many employees and one person’s views don’t reflect all the company,"if a post is inappropriate (graphic, hateful, sexual, etc.), speaks “for” the company, speaks about the company, or gains lots of attention that could then be targeted at the company if people find where they work ",ensure they are only being monitored for ill suited posts not every day ones. a picture of you food on vacation doesn’t matter to the company but spreading certain hateful messages or misinformation etc. does matter and cannot be posted while employed under the organization. make it clear that it isn’t to punish people who haven’t done anything wrong or to invade privacy but to keep the company and other employees safe at work and off of work ,3,3,4,4,4,2,4,4,4,3,4,3,3,3,1
57,2026-03-22 22:31:12,2026-03-22 22:33:21,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Private Sector,Less than 1 year,Non-managerial employee,No,No,Disagree,Agree,Disagree,Strongly Agree,Agree,Neutral,Neither agree nor disagree,Neutral,Somewhat appropriate,Completely appropriate,Agree,Disagree,Strongly disagree,Agree,Disagree,No;,,,,2,4,2,5,4,3,3,3,4,2,1,4,2,4,5
58,2026-03-22 22:34:25,2026-03-22 22:43:57,anonymous,,"Yes, I consent","Yes, currently employed",Non-Profit,4-7 years,Supervisor,Not sure,No,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat appropriate,Completely appropriate,Agree,Neutral,Disagree,Disagree,Disagree,No;,Idk sorry,If their use of social media is inappropriate ,Idk sorry,2,3,4,4,2,4,4,4,4,3,2,2,2,4,5
59,2026-03-22 22:52:45,2026-03-22 23:00:32,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,1-3 years,Non-managerial employee,Not sure,No,Neutral,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Neither agree nor disagree,Neutral,Somewhat inappropriate,Somewhat appropriate,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,No;,Feels like an invasion of privacy.,If cyber bullying is occurring or if a threat of any kind is made.,If the account is a work and/or on a work phone ,3,1,5,4,2,5,3,3,5,5,5,5,4,2,4
60,2026-03-22 23:15:18,2026-03-22 23:18:38,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Private Sector,Less than 1 year,Non-managerial employee,No,No,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly disagree,Neutral,Completely inappropriate,Completely inappropriate,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,No;,,,,3,1,5,1,1,5,1,3,4,1,1,5,5,1,1
61,2026-03-22 23:39:54,2026-03-22 23:50:15,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,Less than 1 year,Non-managerial employee,Not sure,Not sure,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Somewhat appropriate,Completely appropriate,Agree,Neutral,Disagree,Agree,Disagree,No;,"Unless something is flagged for offensive language, political opinion, or anything else that could smudge the company’s reputation - it should not be monitored.","If it is something such as a political view, inappropriate post or comment that is able to be traced back to the company and tarnish their reputation.",Could make it not regularly monitored. Look at the history of employees social media accounts and if there is something that raises a red flag then possibly monitor there’s more regularly than others who have not posted something that may raise a flag.,3,2,4,3,3,4,2,3,4,3,2,4,2,4,5
62,2026-03-23 00:02:43,2026-03-23 00:04:35,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Non-managerial employee,No,Not sure,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neither agree nor disagree,Neutral,Somewhat inappropriate,Somewhat appropriate,Agree,Agree,Agree,Agree,Agree,No;,,,,3,2,4,4,3,4,3,3,4,4,4,4,4,2,4
63,2026-03-23 00:52:01,2026-03-23 00:55:29,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,4-7 years,Non-managerial employee,No,No,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neither agree nor disagree,Neutral,Somewhat appropriate,Somewhat appropriate,Agree,Neutral,Disagree,Neutral,Neutral,No;,Working with children and posting explicit content publicly ,if there has been external complaints ,transparency before star of job ,3,2,3,4,3,4,3,3,4,3,2,3,3,4,4
64,2026-03-23 13:19:43,2026-03-23 13:28:41,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Public Sector,Less than 1 year,Supervisor,No,Not sure,Disagree,Disagree,Strongly Agree,Agree,Disagree,Neutral,Strongly disagree,Disagree,Somewhat inappropriate,Completely appropriate,Neutral,Agree,Disagree,Agree,Neutral,"Yes, witnessed;","Invasion of Privacy, people should be allowed to live their personal life in whichever way they choose and have no repercussions on their professional career. It does increase transparency with your employer but that is not a requirement of your career.","In obvious cases of slander against another employee or the company they work at, Or an attempt to tarnish their reputation due to spite. Work proceedings should be kept internal and breaching this would justify disciplinary action, ","More transparency is needed on what the company doesn’t want to see when they monitor social media profiles, instead of making it a game of Cat and Mouse with HR when an issue arises, be clear about what could potentially be problematic for the company to deal with.",2,2,5,4,2,3,1,2,3,4,2,4,3,2,5
65,2026-03-23 15:48:11,2026-03-23 15:54:42,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,Less than 1 year,Non-managerial employee,Yes,No,Disagree,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Neutral,Somewhat appropriate,Completely appropriate,Agree,Agree,Neutral,Disagree,Agree,No;,"When you work for an organization, you sign away certain rights. For example, you can’t just go home and start taking hard drugs and expect to keep your job. This is very similar with social media use. If you start posting things that don’t represent yourself or the organization you work for in a positive way, you’re negatively affecting the organization and they have a right to combat that.","If an employee posted a couple of times where it has shown a negative representation of the organization that I think there should be a meeting, a warning, and then if anything else repeats then disciplinary action","Set very clear boundaries before employees get hired or during the training process. Most organizations are private sectors and just like they have the right to choose their employees, they have the right to choose what the employees should post. Vice versa, just like employees choose which organization they wanna work for.",2,4,2,5,4,3,4,3,4,4,3,2,4,4,5
66,2026-03-23 18:21:31,2026-03-23 18:31:32,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,4-7 years,Non-managerial employee,No,Not sure,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Completely inappropriate,Somewhat inappropriate,Strongly agree,Agree,Neutral,Strongly agree,Agree,No;,"Fair: 
Monitoring company equipment if being used as an access for social media.

Unfair:
Monitoring Private social media accounts not meant for the general public. ",When it is breaking the law or it is indicating intention to harm,Have a transparent policy addressed during the onboarding process so future employees are more aware of potential consequences. ,2,1,5,2,4,5,4,2,5,4,3,5,4,1,2
67,2026-04-10 03:05:23,2026-04-10 03:15:14,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Non-managerial employee,Not sure,Not sure,Neutral,Disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neutral,Completely inappropriate,Completely appropriate,Agree,Neutral,Strongly disagree,Agree,Neutral,No;,"If it's going to have a negative impact on the company it's fair to monitor but if it's not related to your work, personal social media shouldn't be a concern to an employer. What an employee does on their off time is their business. If the company sets expectations in advance and notifies what monitoring will be done then the employee is aware of the potential discipline based on their actions, it would be fair. ",When it will affect or reflect poorly on the company you are working for negatively. ,Stating what is an acceptable post vs inappropriate. When you know the rules of the game it's easier to play the game. ,3,2,4,4,2,4,3,3,4,3,1,4,3,1,5
